epoch,accuracy,auc,loss,lr,val_accuracy,val_auc,val_loss
0,0.5978260636329651,0.6334606409072876,0.9084405899047852,1e-04,0.528769850730896,0.7211644649505615,1.6910078525543213
1,0.6380928754806519,0.6933891773223877,0.8206099271774292,1e-04,0.6279761791229248,0.7552826404571533,0.8833330273628235
2,0.6627964377403259,0.7152060270309448,0.7797757983207703,1e-04,0.6096230149269104,0.7763360142707825,0.9263110756874084
3,0.6716897487640381,0.7270256280899048,0.7531437277793884,1e-04,0.7063491940498352,0.8092030882835388,0.6728113889694214
4,0.6724308133125305,0.7351680994033813,0.7322713136672974,1e-04,0.511904776096344,0.7424408197402954,1.767361044883728
5,0.6737895011901855,0.7414451241493225,0.7198531627655029,1e-04,0.6661706566810608,0.7704949975013733,0.723616361618042
6,0.7073863744735718,0.7708567976951599,0.6772593855857849,5e-05,0.5376983880996704,0.7944742441177368,1.0646381378173828
7,0.7057806253433228,0.7724781036376953,0.6759162545204163,5e-05,0.6066468358039856,0.801891028881073,0.8386983871459961
8,0.7045454382896423,0.7737938165664673,0.6728251576423645,2.5e-05,0.557539701461792,0.8066598176956177,1.133652687072754
9,0.7193675637245178,0.791357696056366,0.6494894623756409,2.5e-05,0.6364087462425232,0.8006688356399536,0.8657608032226562
