C,degree,gamma,kernel,mean_f1,rank
0.1,2,scale,linear,0.611111111111111,242
0.1,2,scale,poly,0.15384615384615385,522
0.1,2,scale,rbf,0.15384615384615385,522
0.1,2,scale,sigmoid,0.15384615384615385,522
0.1,2,auto,linear,0.611111111111111,242
0.1,2,auto,poly,0.15384615384615385,522
0.1,2,auto,rbf,0.15384615384615385,522
0.1,2,auto,sigmoid,0.15384615384615385,522
0.1,2,0.01,linear,0.611111111111111,242
0.1,2,0.01,poly,0.13333333333333333,595
0.1,2,0.01,rbf,0.15384615384615385,522
0.1,2,0.01,sigmoid,0.15384615384615385,522
0.1,2,0.1,linear,0.611111111111111,242
0.1,2,0.1,poly,0.3333333333333333,478
0.1,2,0.1,rbf,0.15384615384615385,522
0.1,2,0.1,sigmoid,0.16666666666666666,509
0.1,2,1.0,linear,0.611111111111111,242
0.1,2,1.0,poly,0.3333333333333333,478
0.1,2,1.0,rbf,0.15384615384615385,522
0.1,2,1.0,sigmoid,0.16666666666666666,509
0.1,3,scale,linear,0.611111111111111,242
0.1,3,scale,poly,0.42835595776772245,447
0.1,3,scale,rbf,0.15384615384615385,522
0.1,3,scale,sigmoid,0.15384615384615385,522
0.1,3,auto,linear,0.611111111111111,242
0.1,3,auto,poly,0.4411764705882353,427
0.1,3,auto,rbf,0.15384615384615385,522
0.1,3,auto,sigmoid,0.15384615384615385,522
0.1,3,0.01,linear,0.611111111111111,242
0.1,3,0.01,poly,0.3055555555555555,493
0.1,3,0.01,rbf,0.15384615384615385,522
0.1,3,0.01,sigmoid,0.15384615384615385,522
0.1,3,0.1,linear,0.611111111111111,242
0.1,3,0.1,poly,0.7047619047619048,23
0.1,3,0.1,rbf,0.15384615384615385,522
0.1,3,0.1,sigmoid,0.16666666666666666,509
0.1,3,1.0,linear,0.611111111111111,242
0.1,3,1.0,poly,0.7047619047619048,23
0.1,3,1.0,rbf,0.15384615384615385,522
0.1,3,1.0,sigmoid,0.16666666666666666,509
